row_type,canonical_code,display_name_en,category,sphinx_api_id,sphinx_api_name,novoton_api_id,novoton_api_name,novoton_facility_type,sphinx_in_travel_api_alias,novoton_in_travel_api_alias,novoton_mapping_table,travel_feature_map_exists,proposed_cscart_group,match_quality,gap_notes

SECTION: MATCHED FACILITIES — Same amenity exists in BOTH providers with canonical code in travel_feature_map,,,,,,,,,,,,,,

MATCHED,pool,Swimming Pool,Wellness & Recreation,37,Swimming Pool,7,Outdoor swimming pool,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,PARTIAL,"Novoton has separate outdoor(7) and indoor(8) pools; Sphinx has single 'pool' canonical. Consider splitting canonical or mapping both Novoton IDs to 'pool'"
MATCHED,pool,Swimming Pool,Wellness & Recreation,37,Swimming Pool,8,Indoor swimming pool,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,PARTIAL,"Second Novoton pool variant — indoor. Both 7+8 should map to canonical 'pool'"
MATCHED,spa,Spa Facilities,Wellness & Recreation,25,Spa Facilities,10,SPA Center,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,GOOD,"Direct match: Sphinx 25 = Novoton 10"
MATCHED,fitness,Fitness Centre,Wellness & Recreation,31,Fitness Centre,12,Fitness,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,GOOD,"Direct match: Sphinx 31 = Novoton 12"
MATCHED,aqua_park,Aqua Park,Wellness & Recreation,184,Aqua Park,9,Own aquapark,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,GOOD,"Direct match: Sphinx 184 = Novoton 9"
MATCHED,free_wifi,Free Wi-Fi,Room Amenities,126,Free Wi-Fi,4,Wi-Fi,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,GOOD,"Direct match: Sphinx 126 = Novoton 4"
MATCHED,air_conditioning,Air Conditioning,Room Amenities,"124, 157",Air Conditioning,16,Air conditioning/Heating,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,PARTIAL,"Novoton 16 combines AC + Heating into one facility. Sphinx has separate IDs for AC (124/157) and Heating (125)"
MATCHED,heating,Heating,Room Amenities,125,Heating,16,Air conditioning/Heating,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,PARTIAL,"Novoton 16 covers both AC and Heating. May need to map Novoton 16 → both 'air_conditioning' AND 'heating'"
MATCHED,ski_storage,Ski Storage,Room Amenities,129,Ski Storage,5,ski wardrobe,room_facility,YES,NO,hotel_feature_mappings,YES,Room Amenities,GOOD,"Direct match: Sphinx 129 = Novoton 5 (different name, same concept)"
MATCHED,terrace,Terrace,Outdoor,76,Terrace,15,Terrace/Balcony,hotel_facility,YES,NO,hotel_feature_mappings,YES,Hotel Amenities,PARTIAL,"Novoton 15 includes balcony too. Sphinx has only terrace"
MATCHED,kids_menu,Kid's Menu,Food & Drink,1,Kid's Menu,19,Childrens menu,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,GOOD,"Direct match: Sphinx 1 = Novoton 19"
MATCHED,pets_allowed,Pets Allowed,Room Amenities,111,Pets Allowed,3,Pets,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,GOOD,"Direct match: Sphinx 111 = Novoton 3"
MATCHED,disabled_access,Facilities for Disabled,Accessibility,118,Facilities for Disabled,23,Suitable for people with disabilities,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,GOOD,"Direct match: Sphinx 118 = Novoton 23"
MATCHED,free_parking,Free Parking,Parking & Transport,47,Free Parking,2,Parking,hotel_facility,YES,NO,hotel_feature_mappings,YES,Parking & Transport,PARTIAL,"Novoton 2='Parking' is generic; may not always mean free. Sphinx distinguishes free(47) vs secured(48)"
MATCHED,family_rooms,Family Rooms,Room Amenities,120,Family Rooms,26,Suitable for families with children,hotel_facility,YES,NO,hotel_feature_mappings,YES,Family & Accessibility,PARTIAL,"Different concept: Sphinx=dedicated family rooms; Novoton=general family suitability. Consider 'family_friendly' canonical instead"

SECTION: NOVOTON-ONLY FACILITIES — Exist in Novoton API but NO direct canonical code in travel_feature_map,,,,,,,,,,,,,,

NOVOTON_ONLY,—,—,Beach & Location,—,—,1,Free umbrella and sunbed,beach_access,—,NO,hotel_feature_mappings,NO,Beach & Location,NO_MATCH,"NEW canonical needed: 'free_beach_equipment' or map to existing beach-related code. Currently classified as beach_access in Novoton"
NOVOTON_ONLY,—,—,Wellness & Recreation,—,—,6,Entertainment,hotel_facility,—,NO,hotel_feature_mappings,NO,Hotel Amenities,NO_MATCH,"NEW canonical needed: 'entertainment' or 'live_entertainment'. No Sphinx equivalent"
NOVOTON_ONLY,—,—,Wellness & Recreation,—,—,11,Sauna,hotel_facility,—,NO,hotel_feature_mappings,NO,Hotel Amenities,NO_MATCH,"NEW canonical needed: 'sauna'. Could be added to travel_feature_map alongside 'spa' and 'massage'"
NOVOTON_ONLY,—,—,Wellness & Recreation,—,—,13,Balneology,hotel_facility,—,NO,hotel_feature_mappings,NO,Hotel Amenities,NO_MATCH,"NEW canonical needed: 'balneology' or 'thermal_treatment'. Specific to Romanian/Eastern European hotels"
NOVOTON_ONLY,—,—,Room Amenities,—,—,14,Kitchenette,room_facility,—,NO,hotel_feature_mappings,NO,Room Amenities,NO_MATCH,"NEW canonical needed: 'kitchenette'. Common amenity missing from travel_core seed"
